post_id,source,source_type,platform,date_published,collection_window,url,language,truncated,tagged_with,notes,crisis_related,crisis_topic,communication_type,location,instruction,contact_link,time_date,target_group,actionability_score
WFP_001,WFP Lebanon,UN agency,X,2026-04-01,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2039288686588633296,en,no,,One-month mark of escalation; general situation update with cumulative reach figure,yes,displacement / food insecurity / emergency food assistance,situation report,Lebanon (general),no,no,yes,no,1
WFP_002,WFP Lebanon,UN agency,X,2026-04-01,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2039368186701783458,en,no,,First convoy post in window; highest early-window engagement,yes,emergency food assistance / displacement,operational update,Tyre / south Lebanon,no,no,yes,no,2
WFP_003,WFP Lebanon,UN agency,X,2026-04-06,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2041033215750656111,en,no,,Logistics/preparedness context post; ECHO_MiddleEast tagged,yes,emergency food assistance / logistics,coordination update,Lebanon (general),no,no,yes,no,1
WFP_004,WFP Lebanon,UN agency,X,2026-04-06,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2041034470350872799,en,no,,Port of Beirut logistics post; quotes Country Director Allison O'Lawi,yes,emergency food assistance / displacement / logistics,coordination update,Beirut (port),no,no,yes,no,2
WFP_005,WFP Lebanon,UN agency,X,2026-04-06,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2041106592888697041,en,no,,Field distribution post with map pin; logcluster tagged,yes,emergency food assistance / displacement,operational update,Hasbaya / south Lebanon,no,no,yes,no,2
WFP_006,WFP Lebanon,UN agency,X,2026-04-08,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2041870434170253685,en,no,,Map pin post; Ain Ebel is a border village near Blue Line — high-risk delivery,yes,emergency food assistance / displacement,operational update,Ain Ebel / south Lebanon (border),no,no,yes,no,2
WFP_007,WFP Lebanon,UN agency,X,2026-04-10,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2042486730012385313,en,no,,SBS News interview reference; frames shift from displacement to food insecurity narrative,yes,displacement / food insecurity / Israeli military aggression,media engagement,Beirut / Lebanon (general),no,no,yes,no,1
WFP_008,WFP Lebanon,UN agency,X,2026-04-10,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2042525691606860131,en,no,,Highest-actionability WFP post: specific market failure data in named location — useful for citizens in south Lebanon to know food access is via convoys not markets,yes,food insecurity / market disruption / emergency food assistance,situation report,Nabatieh / south Lebanon,no,no,yes,yes,3
WFP_009,WFP Lebanon,UN agency,X,2026-04-13,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2043575920183644655,en,no,,CNN interview reference; post-Apr 8 escalation media engagement,yes,displacement / food insecurity / emergency food assistance,media engagement,Lebanon (general),no,no,yes,no,1
WFP_010,WFP Lebanon,UN agency,X,2026-04-15,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2044303940292891078,en,no,,Second Hasbaya convoy post; map pin; Country Director,yes,emergency food assistance / displacement,operational update,Hasbaya / south Lebanon,no,no,yes,no,2
WFP_011,WFP Lebanon,UN agency,X,2026-04-15,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2044324346374635840,en,no,,CNN International (cnni) interview reference,yes,displacement / food insecurity / emergency food assistance,media engagement,Lebanon (general),no,no,yes,no,1
WFP_012,WFP Lebanon,UN agency,X,2026-04-16,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2044672136925659489,en,no,,Field presence explainer; names all WFP Lebanon geographic coverage areas,yes,emergency food assistance / displacement,coordination update,Bekaa / North Lebanon / Beirut / Mount Lebanon / south Lebanon,no,no,yes,no,2
WFP_013,WFP Lebanon,UN agency,X,2026-04-17,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2045129462405087431,en,no,,Real-time ceasefire post from field; Ebel el Saqi is near Blue Line; Deputy Country Director commentary,yes,displacement / emergency food assistance / ceasefire,operational update,Ebel el Saqi / south Lebanon,no,no,yes,yes,3
WFP_014,WFP Lebanon,UN agency,X,2026-04-23,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2047346484962574463,en,no,,Hermel is in Baalbek-Hermel; northeastern coverage — different area from prior convoy posts,yes,emergency food assistance / displacement,operational update,Hermel / northeast Lebanon / Baalbek-Hermel,no,no,yes,yes,2
WFP_015,WFP Lebanon,UN agency,X,2026-04-24,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2047693001028256149,en,no,,Shebaa is in the Hasbaya district near the Israeli border; Antoine Morel-Vulliez field commentary,yes,emergency food assistance / displacement,operational update,Shebaa / south Lebanon,no,no,yes,yes,2
WFP_016,WFP Lebanon,UN agency,X,2026-04-28,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2049109659525472551,en,no,,Tebnin / Bint Jbeil — same area as Tebnine hospital damaged in UNICEF FU#8; first medical kits mention in WFP posts,yes,emergency food assistance / displacement / public health,operational update,Tebnin / Bint Jbeil / south Lebanon,no,no,yes,yes,2
WFP_017,WFP Lebanon,UN agency,X,2026-04-28,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2049110812464140369,en,no,,Same day as WFP_016; Rmeich is a border village in Bint Jbeil near Blue Line,yes,emergency food assistance / displacement,operational update,Rmeich / south Lebanon (border),no,no,yes,yes,2
WFP_018,WFP Lebanon,UN agency,X,2026-04-30,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2049806720424173944,en,no,,Highest engagement post in entire WFP window (RT:38 Like:63); tied to Apr 29 food insecurity analysis news item referenced by researcher,yes,food insecurity / displacement,situation report,Lebanon (general),no,no,yes,yes,2
WFP_019,WFP Lebanon,UN agency,X,2026-05-03,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2050953792481370152,en,no,,TRT World media appearance; references food insecurity analysis report,yes,food insecurity / displacement,media engagement,Lebanon (general),no,no,yes,no,1
WFP_020,WFP Lebanon,UN agency,X,2026-05-04,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2051256510546575364,en,no,,France24 media appearance; quotes Deputy Country Director Valerie Anne,yes,food insecurity / displacement,media engagement,Lebanon (general),no,no,yes,no,1
WFP_021,WFP Lebanon,UN agency,X,2026-05-05,2026-04-01 to 2026-05-07,https://x.com/WFPLebanon/status/2051638010672750809,en,no,,Final in-window post; repeats food insecurity figure; reporting from Tyre,yes,food insecurity / displacement,situation report,Tyre / south Lebanon,no,no,yes,yes,2
